Tracing TCP established connections. Ctrl-C to end.
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   37220 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     34646  80    
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     37220  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   37220 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        54456  8080  
C  2268664 coredns          4  127.0.0.1        127.0.0.1        54456  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   54456 
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   54456 
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     37232  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   37232 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     45548  8000 
C  2265812 kubelet          4  172.17.0.1       172.17.0.13      38336  8080  
X  2265812 kubelet          4  172.17.0.1       172.17.0.13      43590  8181  
C  2265812 kubelet          4  172.17.0.1       172.17.0.13      43590  8181  
X  2265812 kubelet          4  172.17.0.1       172.17.0.13      38336  8080  
A  2268664 coredns          6  [::ffff:172.17.0.13] [::ffff:172.17.0.1] 8080   38336 
A  2268664 coredns          6  [::ffff:172.17.0.13] [::ffff:172.17.0.1] 8181   43590 
X  2268664 coredns          6  [::ffff:172.17.0.13] [::ffff:172.17.0.1] 8080   38336 
X  2268664 coredns          6  [::ffff:172.17.0.13] [::ffff:172.17.0.1] 8181   43590 
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     56336  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   56336 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     56336  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   56336 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     53368  80    
C  2265812 kubelet          4  127.0.0.1        127.0.0.1        33068  10259 
A  2266187 kube-scheduler   4  127.0.0.1        127.0.0.1        10259  33068 
X  2265812 kubelet          4  127.0.0.1        127.0.0.1        33068  10259 
X  2266187 kube-scheduler   4  127.0.0.1        127.0.0.1        10259  33068 
C  2268664 coredns          4  127.0.0.1        127.0.0.1        43542  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   43542 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        43542  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   43542 
C  2265812 kubelet          4  172.17.0.1       172.17.0.8       41886  19669 
A  2264238 IOThreadPool0    4  172.17.0.8       172.17.0.1       19669  41886 
X  2265812 kubelet          4  172.17.0.1       172.17.0.8       41886  19669 
X  2264238 HTTPSrvExec0     4  172.17.0.8       172.17.0.1       19669  41886 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     41474  8000  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     56342  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   56342 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     56342  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   56342 
C  2265812 kubelet          4  172.17.0.1       172.17.0.12      54276  19779 
A  2264938 IOThreadPool0    4  172.17.0.12      172.17.0.1       19779  54276 
X  2264938 HTTPSrvExec1     4  172.17.0.12      172.17.0.1       19779  54276 
X  2265812 kubelet          4  172.17.0.1       172.17.0.12      54276  19779 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     53372  80    
C  2490893 curl             4  172.23.0.7       172.23.0.7       42960  19669 
C  2490905 curl             4  172.23.0.3       172.23.0.3       52952  19779 
X  2490905 curl             4  172.23.0.3       172.23.0.3       52952  19779 
A  9091   IOThreadPool0    4  172.23.0.3       172.23.0.3       19779  52952 
A  10147  IOThreadPool0    4  172.23.0.7       172.23.0.7       19669  42960 
X  9091   HTTPSrvExec3     4  172.23.0.3       172.23.0.3       19779  52952 
X  10147  HTTPSrvExec3     4  172.23.0.7       172.23.0.7       19669  42960 
X  2490893 curl             4  172.23.0.7       172.23.0.7       42960  19669 
C  2490908 curl             4  172.23.0.2       172.23.0.2       46016  19669 
A  8718   IOThreadPool0    4  172.23.0.2       172.23.0.2       19669  46016 
X  2490908 curl             4  172.23.0.2       172.23.0.2       46016  19669 
X  8718   HTTPSrvExec3     4  172.23.0.2       172.23.0.2       19669  46016 
C  2490907 curl             4  172.23.0.13      172.23.0.13      42732  19779 
A  11898  IOThreadPool0    4  172.23.0.13      172.23.0.13      19779  42732 
X  2490907 curl             4  172.23.0.13      172.23.0.13      42732  19779 
X  11898  HTTPSrvExec3     4  172.23.0.13      172.23.0.13      19779  42732 
C  2268664 coredns          4  127.0.0.1        127.0.0.1        43544  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   43544 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        43544  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   43544 
C  2265812 kubelet          4  127.0.0.1        127.0.0.1        49282  10257 
A  2266207 kube-controller  4  127.0.0.1        127.0.0.1        10257  49282 
X  2265812 kubelet          4  127.0.0.1        127.0.0.1        49282  10257 
X  2266207 kube-controller  4  127.0.0.1        127.0.0.1        10257  49282 
C  2490947 curl             4  172.23.0.8       172.23.0.8       34860  19559 
A  10585  IOThreadPool0    4  172.23.0.8       172.23.0.8       19559  34860 
X  2490947 curl             4  172.23.0.8       172.23.0.8       34860  19559 
X  10585  HTTPSrvExec3     4  172.23.0.8       172.23.0.8       19559  34860 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     41476  8000  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     56350  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   56350 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     56350  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   56350 
C  2490976 curl             4  127.0.0.1        127.0.0.1        57194  9870  
X  2490976 curl             4  127.0.0.1        127.0.0.1        57194  9870  
X  14487  qtp1785397234-4  4  127.0.0.1        127.0.0.1        9870   57194 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     53376  80    
C  2268664 coredns          4  127.0.0.1        127.0.0.1        43556  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   43556 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        43556  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   43556 
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     56362  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   56362 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48840  8000  
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     56362  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   56362 
C  2265812 kubelet          4  172.17.0.1       172.17.0.21      56822  19779 
A  2270460 IOThreadPool0    4  172.17.0.21      172.17.0.1       19779  56822 
X  2265812 kubelet          4  172.17.0.1       172.17.0.21      56822  19779 
X  2270460 HTTPSrvExec2     4  172.17.0.21      172.17.0.1       19779  56822 
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33698  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33698 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35428  80    
C  2265812 kubelet          4  172.17.0.1       172.17.0.17      37270  8081  
A  2267700 controller-mana  6  [::ffff:172.17.0.17] [::ffff:172.17.0.1] 8081   37270 
X  2265812 kubelet          4  172.17.0.1       172.17.0.17      37270  8081  
X  2267700 controller-mana  6  [::ffff:172.17.0.17] [::ffff:172.17.0.1] 8081   37270 
C  2491191 curl             4  172.23.0.9       172.23.0.9       33600  19559 
A  10895  IOThreadPool0    4  172.23.0.9       172.23.0.9       19559  33600 
X  2491191 curl             4  172.23.0.9       172.23.0.9       33600  19559 
X  10895  HTTPSrvExec3     4  172.23.0.9       172.23.0.9       19559  33600 
X  2491239 curl             4  172.23.0.5       172.23.0.5       52126  19669 
A  9586   IOThreadPool0    4  172.23.0.5       172.23.0.5       19669  52126 
X  10924  HTTPSrvExec3     4  172.23.0.10      172.23.0.10      19559  55594 
X  10921  HTTPSrvExec3     4  172.23.0.11      172.23.0.11      19779  50776 
X  2491216 curl             4  172.23.0.11      172.23.0.11      50776  19779 
C  2491239 curl             4  172.23.0.5       172.23.0.5       52126  19669 
A  10921  IOThreadPool0    4  172.23.0.11      172.23.0.11      19779  50776 
C  2491216 curl             4  172.23.0.11      172.23.0.11      50776  19779 
C  2491182 curl             4  172.23.0.10      172.23.0.10      55594  19559 
X  2491182 curl             4  172.23.0.10      172.23.0.10      55594  19559 
A  10924  IOThreadPool0    4  172.23.0.10      172.23.0.10      19559  55594 
X  9586   HTTPSrvExec3     4  172.23.0.5       172.23.0.5       19669  52126 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33698  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33698 
C  2268664 coredns          4  127.0.0.1        127.0.0.1        44380  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44380 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        44380  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44380 
C  2265812 kubelet          4  172.17.0.1       172.17.0.10      41036  6080  
C  2265812 kubelet          4  172.17.0.1       172.17.0.10      41042  6080  
A  2262584 webhook          6  [::ffff:172.17.0.10] [::ffff:172.17.0.1] 6080   41036 
A  2262584 webhook          6  [::ffff:172.17.0.10] [::ffff:172.17.0.1] 6080   41042 
X  2265812 kubelet          4  172.17.0.1       172.17.0.10      41036  6080  
X  2262584 webhook          6  [::ffff:172.17.0.10] [::ffff:172.17.0.1] 6080   41036 
X  2265812 kubelet          4  172.17.0.1       172.17.0.10      41042  6080  
X  2262584 webhook          6  [::ffff:172.17.0.10] [::ffff:172.17.0.1] 6080   41042 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48856  8000  
C  2491492 curl             4  127.0.0.1        127.0.0.1        54380  8088  
X  2491492 curl             4  127.0.0.1        127.0.0.1        54380  8088  
X  19343  qtp1473981203-4  4  127.0.0.1        127.0.0.1        8188   48262 
C  15187  nioEventLoopGro  4  127.0.0.1        127.0.0.1        42780  35525 
X  15187  nioEventLoopGro  4  127.0.0.1        127.0.0.1        42780  35525 
X  15187  nioEventLoopGro  4  127.0.0.1        127.0.0.1        9864   49062 
C  2491494 curl             4  127.0.0.1        127.0.0.1        49062  9864  
X  2491494 curl             4  127.0.0.1        127.0.0.1        49062  9864  
X  20026  qtp815336475-48  4  127.0.0.1        127.0.0.1        8088   54380 
X  2491493 curl             4  127.0.0.1        127.0.0.1        48262  8188  
A  15187  nioEventLoopGro  4  127.0.0.1        127.0.0.1        9864   49062 
X  15187  qtp1976804832-3  4  127.0.0.1        127.0.0.1        35525  42780 
X  16086  qtp2123222442-4  4  127.0.0.1        127.0.0.1        8042   37856 
C  2491495 curl             4  127.0.0.1        127.0.0.1        37856  8042  
X  2491495 curl             4  127.0.0.1        127.0.0.1        37856  8042  
C  2491493 curl             4  127.0.0.1        127.0.0.1        48262  8188  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33704  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33704 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35444  80    
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33704  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33704 
C  2265812 kubelet          4  172.17.0.1       172.17.0.3       50440  19779 
A  2269809 IOThreadPool0    4  172.17.0.3       172.17.0.1       19779  50440 
X  2269809 HTTPSrvExec1     4  172.17.0.3       172.17.0.1       19779  50440 
X  2265812 kubelet          4  172.17.0.1       172.17.0.3       50440  19779 
C  2268664 coredns          4  127.0.0.1        127.0.0.1        44382  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44382 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        44382  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44382 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48868  8000  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33706  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33706 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33706  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33706 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35452  80    
C  2268664 coredns          4  127.0.0.1        127.0.0.1        44392  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44392 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        44392  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44392 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48876  8000  
C  2265812 kubelet          4  172.17.0.1       172.17.0.18      57038  19559 
A  2267972 IOThreadPool0    4  172.17.0.18      172.17.0.1       19559  57038 
X  2267972 HTTPSrvExec0     4  172.17.0.18      172.17.0.1       19559  57038 
X  2265812 kubelet          4  172.17.0.1       172.17.0.18      57038  19559 
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33708  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33708 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33708  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33708 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35454  80    
C  2268664 coredns          4  127.0.0.1        127.0.0.1        44404  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44404 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        44404  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44404 
X  2242   ovn-controller   4  10.1.1.168       10.1.1.168       40550  6642  
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48886  8000  
C  2265812 kubelet          4  172.17.0.1       172.17.0.14      41934  8081  
C  2265812 kubelet          4  172.17.0.1       172.17.0.14      41948  8081  
A  2268734 controller-mana  6  [::ffff:172.17.0.14] [::ffff:172.17.0.1] 8081   41934 
A  2268734 controller-mana  6  [::ffff:172.17.0.14] [::ffff:172.17.0.1] 8081   41948 
X  2268734 controller-mana  6  [::ffff:172.17.0.14] [::ffff:172.17.0.1] 8081   41934 
X  2268734 controller-mana  6  [::ffff:172.17.0.14] [::ffff:172.17.0.1] 8081   41948 
X  2265812 kubelet          4  172.17.0.1       172.17.0.14      41948  8081  
X  2265812 kubelet          4  172.17.0.1       172.17.0.14      41934  8081  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33724  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33724 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33724  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33724 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35464  80    
C  2268664 coredns          4  127.0.0.1        127.0.0.1        44420  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44420 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        44420  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44420 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48890  8000  
C  2265812 kubelet          4  172.17.0.1       172.17.0.2       40044  19669 
A  2263426 IOThreadPool0    4  172.17.0.2       172.17.0.1       19669  40044 
X  2263426 HTTPSrvExec2     4  172.17.0.2       172.17.0.1       19669  40044 
X  2265812 kubelet          4  172.17.0.1       172.17.0.2       40044  19669 
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33736  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33736 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33736  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33736 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35472  80    
C  2268664 coredns          4  127.0.0.1        127.0.0.1        44422  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44422 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        44422  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44422 
C  2265812 kubelet          4  172.17.0.1       172.17.0.10      41046  6080  
A  2262584 webhook          6  [::ffff:172.17.0.10] [::ffff:172.17.0.1] 6080   41046 
X  2265812 kubelet          4  172.17.0.1       172.17.0.10      41046  6080  
X  2262584 webhook          6  [::ffff:172.17.0.10] [::ffff:172.17.0.1] 6080   41046 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48892  8000  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33750  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33750 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33750  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33750 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35482  80    
C  2265812 kubelet          4  172.17.0.1       172.17.0.6       32826  19779 
A  2263196 IOThreadPool0    4  172.17.0.6       172.17.0.1       19779  32826 
X  2263196 HTTPSrvExec2     4  172.17.0.6       172.17.0.1       19779  32826 
X  2265812 kubelet          4  172.17.0.1       172.17.0.6       32826  19779 
C  2268664 coredns          4  127.0.0.1        127.0.0.1        44432  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44432 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        44432  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44432 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48908  8000  
C  2265812 kubelet          4  127.0.0.1        127.0.0.1        36398  2381  
A  2266188 etcd             4  127.0.0.1        127.0.0.1        2381   36398 
X  2266188 etcd             4  127.0.0.1        127.0.0.1        2381   36398 
X  2265812 kubelet          4  127.0.0.1        127.0.0.1        36398  2381  
C  2265812 kubelet          4  172.17.0.1       172.17.0.13      52264  8181  
C  2265812 kubelet          4  172.17.0.1       172.17.0.13      49942  8080  
C  2265800 nebula-storaged  4  172.17.0.6       172.17.0.21      12345  9779
C  2262901 nebula-storaged  4  172.17.0.21      172.17.0.6       23456  9779
C  2265802 nebula-storaged  4  172.17.0.6       172.17.0.12      34567  9779
C  2266103 nebula-storaged  4  172.17.0.12      172.17.0.6       45678  9779
C  2265804 nebula-graphd    4  172.17.0.8       172.17.0.18      56789  9559
C  2266105 nebula-graphd    4  172.17.0.2       172.17.0.18      67890  9559
C  2265806 apisix           4  172.17.0.19      172.17.0.20      78901  80
C  2264907 dnsutils         4  172.17.0.9       172.17.0.5       89012  53
C  2264908 coredns          4  172.17.0.13      172.17.0.5       90123  53
A  2268664 coredns          6  [::ffff:172.17.0.13] [::ffff:172.17.0.1] 8181   52264 
A  2268664 coredns          6  [::ffff:172.17.0.13] [::ffff:172.17.0.1] 8080   49942 
X  2265812 kubelet          4  172.17.0.1       172.17.0.13      52264  8181  
X  2268664 coredns          6  [::ffff:172.17.0.13] [::ffff:172.17.0.1] 8080   49942 
X  2268664 coredns          6  [::ffff:172.17.0.13] [::ffff:172.17.0.1] 8181   52264 
X  2265812 kubelet          4  172.17.0.1       172.17.0.13      49942  8080  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33752  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33752 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33752  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33752 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35484  80    
C  1852626 node             4  10.1.1.168       198.18.1.115     46130  443   
C  2265812 kubelet          4  127.0.0.1        127.0.0.1        33036  10259 
A  2266187 kube-scheduler   4  127.0.0.1        127.0.0.1        10259  33036 
X  2265812 kubelet          4  127.0.0.1        127.0.0.1        33036  10259 
X  2266187 kube-scheduler   4  127.0.0.1        127.0.0.1        10259  33036 
C  2268664 coredns          4  127.0.0.1        127.0.0.1        44442  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44442 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        44442  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   44442 
C  2265812 kubelet          4  172.17.0.1       172.17.0.8       38744  19669 
A  2264238 IOThreadPool0    4  172.17.0.8       172.17.0.1       19669  38744 
X  2264238 HTTPSrvExec1     4  172.17.0.8       172.17.0.1       19669  38744 
X  2265812 kubelet          4  172.17.0.1       172.17.0.8       38744  19669 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     48910  8000  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     33756  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33756 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     33756  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   33756 
C  2265812 kubelet          4  172.17.0.1       172.17.0.12      56914  19779 
A  2264938 IOThreadPool0    4  172.17.0.12      172.17.0.1       19779  56914 
X  2264938 HTTPSrvExec2     4  172.17.0.12      172.17.0.1       19779  56914 
X  2265812 kubelet          4  172.17.0.1       172.17.0.12      56914  19779 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     35494  80
